label, time, delta, theta, lowAlpha, highAlpha, lowBeta, highBeta, lowGamma, highGamma
0,0.7442720519999995,250691,32407,7719,2567,4076,3624,3591,1433
0,1.7063527749999992,1033120,129862,14596,7828,13011,6802,1115,3606
0,2.731102270000001,292331,21408,8004,5868,4627,3073,1241,852
0,3.692258067000001,1131003,74445,6235,5967,7903,8508,1806,2255
0,4.715143749999999,1084797,379228,40870,18700,37066,51638,29391,17561
1,0.6900017630000015,153529,11999,4443,1817,2049,786,1744,1119
1,1.7133140770000033,323544,72888,43183,21804,19832,18183,6884,7631
1,2.6701108220000016,51758,5790,1902,2187,1650,1956,1233,1061
1,3.6567533230000038,374854,12229,27644,52817,59665,19459,5156,5524
1,4.723821188999999,1547974,248060,122828,103205,39823,31771,22137,7336
0,0.7288430569999989,20531,13895,2185,8610,2580,1648,925,584
0,1.6257126299999953,207839,16572,5584,6824,2809,5499,1872,1030
0,2.6275487909999953,48127,47808,35355,30293,27081,19705,5163,3826
0,3.6313439329999966,180188,115500,7583,8229,8848,7168,2628,3042
0,4.653675645,348339,233312,41645,45133,33024,26756,10133,7869
1,0.5871156239999991,1274401,103131,14215,8294,9033,3455,1801,1332
1,1.5925701820000029,143293,33237,4359,2808,3925,3667,973,1526
1,2.6192497259999996,231045,73415,7950,5634,6061,4115,1346,1956
1,3.6016703969999995,395281,17321,4401,2834,2055,1479,413,317
1,4.609114111000004,103761,112227,2779,9162,7973,5357,1800,904
0,0.5685034659999957,932967,358902,33876,43880,41148,25653,11132,12608
0,1.5549958799999999,188904,93073,8353,7535,9550,6575,1473,1803
0,2.5840709399999966,388076,6669,1246,2674,3160,2078,1241,1432
0,3.5689993669999964,727464,42371,6931,3008,4792,2564,1021,484
0,4.552887212999998,139252,79104,20790,17766,22780,9336,9601,3824
1,0.5685299379999975,1501307,307018,24608,29967,21311,13885,15130,4257
1,1.532158145000004,160266,29217,6348,3026,5225,4102,2213,1361
1,2.5341036700000004,1335392,128425,54196,36504,24405,16477,6608,5240
1,3.6592026980000014,14255,12525,7001,11124,7835,3287,6699,3507
1,4.537622298999999,12364,10710,7341,2076,6173,7410,1797,1596
0,0.4829050289999941,242736,107536,65282,11539,9441,17656,7842,3727
0,1.505123716,1314767,449681,88969,80817,29902,23066,11376,9635
0,2.4704945629999955,846502,68963,10279,7843,8376,3831,825,1218
0,3.456476748,1278908,91881,7315,9066,6315,5342,1928,1227
0,4.504442985999994,644844,98575,5834,5957,10926,3262,1896,444
1,0.44000396100000216,217773,15458,22236,2139,6924,10083,1366,505
